codetype,nx,numthreads,elapsed_time
life,100,,0.03228592872619629
pthread,100,4,0.2856171131134033
openmp,100,4,0.11391711235046387
life,500,,5.45779013633728
pthread,500,4,5.896788597106934
openmp,500,4,2.904893636703491
life,1000,,2.9174814224243164
pthread,1000,4,27.13331890106201
openmp,1000,4,10.174399614334106
life,2000,,14.989173412322998
pthread,2000,4,80.76762676239014
openmp,2000,4,53.60707402229309
pthread,1000,1,8.436675071716309
openmp,1000,1,3.334322214126587
pthread,1000,2,29.12925958633423
openmp,1000,2,17.80983853340149
pthread,1000,4,22.590126752853394
openmp,1000,4,10.617327451705933
pthread,1000,8,52.549856662750244
openmp,1000,8,8.340087175369263
pthread,1000,16,47.68853235244751
openmp,1000,16,7.928889751434326
