Program,n,i,s,p,Threads,Time (s),Output Match
openmp_life,200,300,5678,0.4,2,,Error
openmp_life,200,300,5678,0.4,4,,Error
openmp_life,200,300,5678,0.4,8,,Error
openmp_life,200,300,5678,0.4,16,,Error
openmp_life,200,400,1234,0.2,1,,Error
openmp_life,200,400,1234,0.2,2,,Error
openmp_life,200,400,1234,0.2,4,,Error
openmp_life,200,400,1234,0.2,8,,Error
openmp_life,200,400,1234,0.2,16,,Error
openmp_life,200,400,1234,0.4,1,,Error
openmp_life,200,400,1234,0.4,2,,Error
openmp_life,200,400,1234,0.4,4,,Error
openmp_life,200,400,1234,0.4,8,,Error
openmp_life,200,400,1234,0.4,16,,Error
openmp_life,200,400,5678,0.2,1,,Error
openmp_life,200,400,5678,0.2,2,,Error
openmp_life,200,400,5678,0.2,4,,Error
openmp_life,200,400,5678,0.2,8,,Error
openmp_life,200,400,5678,0.2,16,,Error
openmp_life,200,400,5678,0.4,1,,Error
openmp_life,200,400,5678,0.4,2,,Error
openmp_life,200,400,5678,0.4,4,,Error
openmp_life,200,400,5678,0.4,8,,Error
openmp_life,200,400,5678,0.4,16,,Error
openmp_life,300,100,1234,0.2,1,,Error
openmp_life,300,100,1234,0.2,2,,Error
openmp_life,300,100,1234,0.2,4,,Error
openmp_life,300,100,1234,0.2,8,,Error
openmp_life,300,100,1234,0.2,16,,Error
openmp_life,300,100,1234,0.4,1,,Error
openmp_life,300,100,1234,0.4,2,,Error
openmp_life,300,100,1234,0.4,4,,Error
openmp_life,300,100,1234,0.4,8,,Error
openmp_life,300,100,1234,0.4,16,,Error
openmp_life,300,100,5678,0.2,1,,Error
openmp_life,300,100,5678,0.2,2,,Error
openmp_life,300,100,5678,0.2,4,,Error
openmp_life,300,100,5678,0.2,8,,Error
openmp_life,300,100,5678,0.2,16,,Error
openmp_life,300,100,5678,0.4,1,,Error
openmp_life,300,100,5678,0.4,2,,Error
openmp_life,300,100,5678,0.4,4,,Error
openmp_life,300,100,5678,0.4,8,,Error
openmp_life,300,100,5678,0.4,16,,Error
openmp_life,300,200,1234,0.2,1,,Error
openmp_life,300,200,1234,0.2,2,,Error
openmp_life,300,200,1234,0.2,4,,Error
openmp_life,300,200,1234,0.2,8,,Error
openmp_life,300,200,1234,0.2,16,,Error
openmp_life,300,200,1234,0.4,1,,Error
openmp_life,300,200,1234,0.4,2,,Error
openmp_life,300,200,1234,0.4,4,,Error
openmp_life,300,200,1234,0.4,8,,Error
openmp_life,300,200,1234,0.4,16,,Error
openmp_life,300,200,5678,0.2,1,,Error
openmp_life,300,200,5678,0.2,2,,Error
openmp_life,300,200,5678,0.2,4,,Error
openmp_life,300,200,5678,0.2,8,,Error
openmp_life,300,200,5678,0.2,16,,Error
openmp_life,300,200,5678,0.4,1,,Error
openmp_life,300,200,5678,0.4,2,,Error
openmp_life,300,200,5678,0.4,4,,Error
openmp_life,300,200,5678,0.4,8,,Error
openmp_life,300,200,5678,0.4,16,,Error
openmp_life,300,300,1234,0.2,1,,Error
openmp_life,300,300,1234,0.2,2,,Error
openmp_life,300,300,1234,0.2,4,,Error
openmp_life,300,300,1234,0.2,8,,Error
openmp_life,300,300,1234,0.2,16,,Error
openmp_life,300,300,1234,0.4,1,,Error
openmp_life,300,300,1234,0.4,2,,Error
openmp_life,300,300,1234,0.4,4,,Error
openmp_life,300,300,1234,0.4,8,,Error
openmp_life,300,300,1234,0.4,16,,Error
openmp_life,300,300,5678,0.2,1,,Error
openmp_life,300,300,5678,0.2,2,,Error
openmp_life,300,300,5678,0.2,4,,Error
openmp_life,300,300,5678,0.2,8,,Error
openmp_life,300,300,5678,0.2,16,,Error
openmp_life,300,300,5678,0.4,1,,Error
openmp_life,300,300,5678,0.4,2,,Error
openmp_life,300,300,5678,0.4,4,,Error
openmp_life,300,300,5678,0.4,8,,Error
openmp_life,300,300,5678,0.4,16,,Error
openmp_life,300,400,1234,0.2,1,,Error
openmp_life,300,400,1234,0.2,2,,Error
openmp_life,300,400,1234,0.2,4,,Error
openmp_life,300,400,1234,0.2,8,,Error
openmp_life,300,400,1234,0.2,16,,Error
openmp_life,300,400,1234,0.4,1,,Error
openmp_life,300,400,1234,0.4,2,,Error
openmp_life,300,400,1234,0.4,4,,Error
openmp_life,300,400,1234,0.4,8,,Error
openmp_life,300,400,1234,0.4,16,,Error
openmp_life,300,400,5678,0.2,1,,Error
openmp_life,300,400,5678,0.2,2,,Error
openmp_life,300,400,5678,0.2,4,,Error
openmp_life,300,400,5678,0.2,8,,Error
openmp_life,300,400,5678,0.2,16,,Error
openmp_life,300,400,5678,0.4,1,,Error
openmp_life,300,400,5678,0.4,2,,Error
openmp_life,300,400,5678,0.4,4,,Error
openmp_life,300,400,5678,0.4,8,,Error
openmp_life,300,400,5678,0.4,16,,Error
openmp_life,400,100,1234,0.2,1,,Error
openmp_life,400,100,1234,0.2,2,,Error
openmp_life,400,100,1234,0.2,4,,Error
openmp_life,400,100,1234,0.2,8,,Error
openmp_life,400,100,1234,0.2,16,,Error
openmp_life,400,100,1234,0.4,1,,Error
openmp_life,400,100,1234,0.4,2,,Error
openmp_life,400,100,1234,0.4,4,,Error
openmp_life,400,100,1234,0.4,8,,Error
openmp_life,400,100,1234,0.4,16,,Error
openmp_life,400,100,5678,0.2,1,,Error
openmp_life,400,100,5678,0.2,2,,Error
openmp_life,400,100,5678,0.2,4,,Error
openmp_life,400,100,5678,0.2,8,,Error
openmp_life,400,100,5678,0.2,16,,Error
openmp_life,400,100,5678,0.4,1,,Error
openmp_life,400,100,5678,0.4,2,,Error
openmp_life,400,100,5678,0.4,4,,Error
openmp_life,400,100,5678,0.4,8,,Error
openmp_life,400,100,5678,0.4,16,,Error
openmp_life,400,200,1234,0.2,1,,Error
openmp_life,400,200,1234,0.2,2,,Error
openmp_life,400,200,1234,0.2,4,,Error
openmp_life,400,200,1234,0.2,8,,Error
openmp_life,400,200,1234,0.2,16,,Error
openmp_life,400,200,1234,0.4,1,,Error
openmp_life,400,200,1234,0.4,2,,Error
openmp_life,400,200,1234,0.4,4,,Error
openmp_life,400,200,1234,0.4,8,,Error
openmp_life,400,200,1234,0.4,16,,Error
openmp_life,400,200,5678,0.2,1,,Error
openmp_life,400,200,5678,0.2,2,,Error
openmp_life,400,200,5678,0.2,4,,Error
openmp_life,400,200,5678,0.2,8,,Error
openmp_life,400,200,5678,0.2,16,,Error
openmp_life,400,200,5678,0.4,1,,Error
openmp_life,400,200,5678,0.4,2,,Error
openmp_life,400,200,5678,0.4,4,,Error
openmp_life,400,200,5678,0.4,8,,Error
openmp_life,400,200,5678,0.4,16,,Error
openmp_life,400,300,1234,0.2,1,,Error
openmp_life,400,300,1234,0.2,2,,Error
openmp_life,400,300,1234,0.2,4,,Error
openmp_life,400,300,1234,0.2,8,,Error
openmp_life,400,300,1234,0.2,16,,Error
openmp_life,400,300,1234,0.4,1,,Error
openmp_life,400,300,1234,0.4,2,,Error
openmp_life,400,300,1234,0.4,4,,Error
openmp_life,400,300,1234,0.4,8,,Error
openmp_life,400,300,1234,0.4,16,,Error
openmp_life,400,300,5678,0.2,1,,Error
openmp_life,400,300,5678,0.2,2,,Error
openmp_life,400,300,5678,0.2,4,,Error
openmp_life,400,300,5678,0.2,8,,Error
openmp_life,400,300,5678,0.2,16,,Error
openmp_life,400,300,5678,0.4,1,,Error
openmp_life,400,300,5678,0.4,2,,Error
openmp_life,400,300,5678,0.4,4,,Error
openmp_life,400,300,5678,0.4,8,,Error
openmp_life,400,300,5678,0.4,16,,Error
openmp_life,400,400,1234,0.2,1,,Error
openmp_life,400,400,1234,0.2,2,,Error
openmp_life,400,400,1234,0.2,4,,Error
openmp_life,400,400,1234,0.2,8,,Error
openmp_life,400,400,1234,0.2,16,,Error
openmp_life,400,400,1234,0.4,1,,Error
openmp_life,400,400,1234,0.4,2,,Error
openmp_life,400,400,1234,0.4,4,,Error
openmp_life,400,400,1234,0.4,8,,Error
openmp_life,400,400,1234,0.4,16,,Error
openmp_life,400,400,5678,0.2,1,,Error
openmp_life,400,400,5678,0.2,2,,Error
openmp_life,400,400,5678,0.2,4,,Error
openmp_life,400,400,5678,0.2,8,,Error
openmp_life,400,400,5678,0.2,16,,Error
openmp_life,400,400,5678,0.4,1,,Error
openmp_life,400,400,5678,0.4,2,,Error
openmp_life,400,400,5678,0.4,4,,Error
openmp_life,400,400,5678,0.4,8,,Error
openmp_life,400,400,5678,0.4,16,,Error
