Program,n,i,s,p,Threads,Time (s),Output Match
pthread_life,100,300,5678,0.2,4,1.635479281998414,No
pthread_life,100,300,5678,0.2,8,1.5012658370033023,No
pthread_life,100,300,5678,0.2,16,1.578058642000542,No
pthread_life,100,300,5678,0.4,1,1.7198252329981187,No
pthread_life,100,300,5678,0.4,2,1.6158350859986967,No
pthread_life,100,300,5678,0.4,4,1.5660727649992623,No
pthread_life,100,300,5678,0.4,8,1.844318449999264,No
pthread_life,100,300,5678,0.4,16,1.751922782001202,No
pthread_life,100,400,1234,0.2,1,1.8554166100002476,No
pthread_life,100,400,1234,0.2,2,1.8823620149996714,No
pthread_life,100,400,1234,0.2,4,1.7515109039995878,No
pthread_life,100,400,1234,0.2,8,1.6945455380009662,No
pthread_life,100,400,1234,0.2,16,1.8452153489997727,No
pthread_life,100,400,1234,0.4,1,1.8534444290016836,No
pthread_life,100,400,1234,0.4,2,1.7569880240007478,No
pthread_life,100,400,1234,0.4,4,1.6893841040000552,No
pthread_life,100,400,1234,0.4,8,1.7040085770022415,No
pthread_life,100,400,1234,0.4,16,1.6689643879981304,No
pthread_life,100,400,5678,0.2,1,1.6573232109985838,No
pthread_life,100,400,5678,0.2,2,1.6329338270006701,No
pthread_life,100,400,5678,0.2,4,1.5789681109999947,No
pthread_life,100,400,5678,0.2,8,1.784690568001679,No
pthread_life,100,400,5678,0.2,16,1.8224216460002935,No
pthread_life,100,400,5678,0.4,1,1.7039246070016816,No
pthread_life,100,400,5678,0.4,2,1.6262735570016957,No
pthread_life,100,400,5678,0.4,4,1.753727176997927,No
pthread_life,100,400,5678,0.4,8,1.7166308779997053,No
pthread_life,100,400,5678,0.4,16,1.7041803520005487,No
pthread_life,200,100,1234,0.2,1,1.667362657997728,No
pthread_life,200,100,1234,0.2,2,1.4489616680002655,No
pthread_life,200,100,1234,0.2,4,1.5687243940010376,No
pthread_life,200,100,1234,0.2,8,1.757842637001886,No
pthread_life,200,100,1234,0.2,16,1.7304394809980295,No
pthread_life,200,100,1234,0.4,1,1.776975056000083,No
pthread_life,200,100,1234,0.4,2,1.6849113339994801,No
pthread_life,200,100,1234,0.4,4,1.8148218370006362,No
pthread_life,200,100,1234,0.4,8,1.6862987419990532,No
pthread_life,200,100,1234,0.4,16,1.8265250959993864,No
pthread_life,200,100,5678,0.2,1,1.851378590999957,No
pthread_life,200,100,5678,0.2,2,1.64645633499822,No
pthread_life,200,100,5678,0.2,4,1.7710902469989378,No
pthread_life,200,100,5678,0.2,8,1.6667185179976514,No
pthread_life,200,100,5678,0.2,16,1.725210391003202,No
pthread_life,200,100,5678,0.4,1,1.6566587980014447,No
pthread_life,200,100,5678,0.4,2,1.691924614002346,No
pthread_life,200,100,5678,0.4,4,1.5241509280022,No
pthread_life,200,100,5678,0.4,8,1.6717661659968144,No
pthread_life,200,100,5678,0.4,16,1.6631250020000152,No
pthread_life,200,200,1234,0.2,1,1.769918542002415,No
pthread_life,200,200,1234,0.2,2,1.7075616429974616,No
pthread_life,200,200,1234,0.2,4,1.777336415998434,No
pthread_life,200,200,1234,0.2,8,1.6636456950000138,No
pthread_life,200,200,1234,0.2,16,1.6771597759980068,No
pthread_life,200,200,1234,0.4,1,1.6626846119979746,No
pthread_life,200,200,1234,0.4,2,1.6084798789997876,No
pthread_life,200,200,1234,0.4,4,1.6386726819982869,No
pthread_life,200,200,1234,0.4,8,1.6509246210007404,No
pthread_life,200,200,1234,0.4,16,1.6657145200006198,No
pthread_life,200,200,5678,0.2,1,1.8412620589988364,No
pthread_life,200,200,5678,0.2,2,1.7615610889988602,No
pthread_life,200,200,5678,0.2,4,1.6966260909975972,No
pthread_life,200,200,5678,0.2,8,1.5342981350004266,No
pthread_life,200,200,5678,0.2,16,1.7531649690026825,No
